"","dist","K","Root","type"
"1",0.421940928270018,2.21705426356589e-07,"Axes","kr"
"2",7.00421940928268,2.22222222222222e-07,"Axes","kr"
"3",10.8860759493671,2.21705426356589e-07,"Axes","kr"
"4",13.2489451476793,2.18604651162791e-07,"Axes","kr"
"5",13.9240506329114,2.11886304909561e-07,"Axes","kr"
"6",15.7805907172996,1.71576227390181e-07,"Axes","kr"
"7",18.6497890295359,8.9405684754522e-08,"Axes","kr"
"8",19.3248945147679,7.90697674418605e-08,"Axes","kr"
"9",21.6877637130802,7.64857881136951e-08,"Axes","kr"
"10",29.6202531645569,7.64857881136951e-08,"Axes","kr"
"11",40.7594936708861,7.64857881136951e-08,"Axes","kr"
"12",43.6286919831224,7.5968992248062e-08,"Axes","kr"
"13",46.4978902953586,7.18346253229974e-08,"Axes","kr"
"14",49.873417721519,5.83979328165375e-08,"Axes","kr"
"15",57.8059071729958,2.58397932816537e-08,"Axes","kr"
"16",59.831223628692,2.0671834625323e-08,"Axes","kr"
"17",62.5316455696203,1.91214470284238e-08,"Axes","kr"
"18",87.5105485232067,1.91214470284238e-08,"Axes","kr"
"19",106.244725738397,1.91214470284238e-08,"Axes","kr"
"20",0.0759013282732477,2.11678832116788e-07,"LAT","kr"
"21",5.426944971537,2.11192214111922e-07,"LAT","kr"
"22",9.37381404174574,2.11192214111922e-07,"LAT","kr"
"23",9.67741935483871,2.08272506082725e-07,"LAT","kr"
"24",15.5977229601518,1.94647201946472e-08,"LAT","kr"
"25",21.4421252371917,1.89781021897811e-08,"LAT","kr"
"26",5.48523206751053,0,"Axes","kx"
"27",11.8987341772152,0,"Axes","kx"
"28",20.168776371308,1.28504672897196e-10,"Axes","kx"
"29",26.4135021097046,3.15420560747663e-10,"Axes","kx"
"30",29.4514767932489,3.38785046728972e-10,"Axes","kx"
"31",34.1772151898734,3.38785046728972e-10,"Axes","kx"
"32",36.2025316455696,3.6214953271028e-10,"Axes","kx"
"33",37.8902953586498,6.89252336448598e-10,"Axes","kx"
"34",48.6919831223629,4.76635514018692e-09,"Axes","kx"
"35",50.210970464135,4.94158878504673e-09,"Axes","kx"
"36",52.7426160337553,4.96495327102804e-09,"Axes","kx"
"37",84.6413502109705,4.96495327102804e-09,"Axes","kx"
"38",102.53164556962,4.97663551401869e-09,"Axes","kx"
"39",0.0379506641366261,0,"LAT","kx"
"40",5.00948766603416,1.37614678899084e-14,"LAT","kx"
"41",10.0189753320683,1.37614678899084e-14,"LAT","kx"
"42",13.0170777988615,7.11009174311927e-13,"LAT","kx"
"43",20,7.11009174311927e-13,"LAT","kx"
"44",23.0360531309298,2.00917431192661e-12,"LAT","kx"
"45",23.6812144212524,2.00917431192661e-12,"LAT","kx"
